ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
3.525219608912192378e-03,-3.622320185573989280e-04,1.833243504657871270e+01
3.524060466140672369e-03,-3.736010445970639328e-04,1.861891392707225990e+01
3.522846273328210376e-03,-3.851424455508726109e-04,1.890539280703137948e+01
3.521575325574081029e-03,-3.968559182472743813e-04,1.919187168644820574e+01
3.520245893183739615e-03,-4.087411453754038896e-04,1.947835056531490494e+01
3.518856221779688258e-03,-4.207977950574980173e-04,1.976482944362367178e+01
3.517404532417418763e-03,-4.330255204155188066e-04,2.005130832136675778e+01
3.515889021706574812e-03,-4.454239591320362929e-04,2.033778719853643224e+01
3.514307861937502643e-03,-4.579927330054255107e-04,2.062426607512501420e+01
3.512659201213313379e-03,-4.707314474994326952e-04,2.091074495112487241e+01
3.510941163587628748e-03,-4.836396912871710157e-04,2.119722382652840409e+01
3.509151849208184092e-03,-4.967170357896093756e-04,2.148370270132806681e+01
3.507289334466403164e-03,-5.099630347086149930e-04,2.177018157551636079e+01
3.505351672153146809e-03,-5.233772235546200200e-04,2.205666044908583601e+01
3.503336891620772130e-03,-5.369591191689807204e-04,2.234313932202909214e+01
3.501242998951679519e-03,-5.507082192411028249e-04,2.262961819433878929e+01
3.499067977133493278e-03,-5.646240018204057038e-04,2.291609706600764085e+01
3.496809786241071409e-03,-5.787059248232081371e-04,2.320257593702841703e+01
3.494466363625475976e-03,-5.929534255346143945e-04,2.348905480739394847e+01
3.492035624110113087e-03,-6.073659201054862778e-04,2.377553367709713683e+01
3.489515460194167820e-03,-6.219428030445863431e-04,2.406201254613093710e+01
3.486903742263551802e-03,-6.366834467059895569e-04,2.434849141448838239e+01
3.484198318809500483e-03,-6.515872007718508802e-04,2.463497028216256624e+01
3.481397016655017433e-03,-6.666533917306299373e-04,2.492144914914667098e+01
3.478497641189317452e-03,-6.818813223508750094e-04,2.520792801543393225e+01
3.475497976610483590e-03,-6.972702711506687011e-04,2.549440688101767805e+01
3.472395786176459085e-03,-7.128194918628432677e-04,2.578088574589131809e+01
3.469188812464621841e-03,-7.285282128960838882e-04,2.606736461004834027e+01
3.465874777640050308e-03,-7.443956367920252695e-04,2.635384347348231415e+01
3.462451383732719715e-03,-7.604209396784721194e-04,2.664032233618690881e+01
3.458916312923771344e-03,-7.766032707188602570e-04,2.692680119815587858e+01
3.455267227841056499e-03,-7.929417515580862962e-04,2.721328005938307371e+01
3.451501771864129518e-03,-8.094354757648430541e-04,2.749975891986244037e+01
3.447617569438878038e-03,-8.260835082705906803e-04,2.778623777958803487e+01
3.443612226401972232e-03,-8.428848848053070546e-04,2.807271663855400945e+01
3.439483330315308649e-03,-8.598386113301587259e-04,2.835919549675461226e+01
3.435228450810652936e-03,-8.769436634672465652e-04,2.864567435418423003e+01
3.430845139944650561e-03,-8.941989859265735835e-04,2.893215321083733826e+01
3.426330932564385524e-03,-9.116034919303964623e-04,2.921863206670854041e+01
3.421683346683698258e-03,-9.291560626351225583e-04,2.950511092179256067e+01
3.416899883870416679e-03,-9.468555465509163145e-04,2.979158977608425118e+01
3.411978029644708536e-03,-9.647007589591950543e-04,3.007806862957857419e+01
3.406915253888727260e-03,-9.826904813281787422e-04,3.036454748227064471e+01
3.401709011267745140e-03,-1.000823460726688648e-03,3.065102633415569855e+01
3.396356741662946883e-03,-1.019098409236368716e-03,3.093750518522911008e+01
3.390855870616081742e-03,-1.037514003362533790e-03,3.122398403548640999e+01
3.385203809786144647e-03,-1.056068883443828143e-03,3.151046288492326042e+01
3.379397957418277601e-03,-1.074761653060909636e-03,3.179694173353547626e+01
3.373435698825070876e-03,-1.093590878444356939e-03,3.208342058131903940e+01
3.367314406880445726e-03,-1.112555087882014697e-03,3.236989942827006672e+01
3.361031442526293822e-03,-1.131652771125997827e-03,3.265637827438484919e+01
3.354584155292062494e-03,-1.150882378799575464e-03,3.294285711965986962e+01
3.347969883827453617e-03,-1.170242321804161167e-03,3.319294262114342331e+01
3.341193447195444418e-03,-1.189709748136201159e-03,3.340142198697057552e+01
3.334261240605547894e-03,-1.209258907834937597e-03,3.357235159095890253e+01
3.327179359848802219e-03,-1.228866577567225716e-03,3.370940094442595836e+01
3.319953620996765348e-03,-1.248511821730313243e-03,3.381588954768355393e+01
3.312589577870531272e-03,-1.268175775982774856e-03,3.389482023138810973e+01
3.305092537710818939e-03,-1.287841451124563776e-03,3.394890932209089129e+01
3.297467575384383908e-03,-1.307493555435787057e-03,3.398061393448516299e+01
3.289719546386759164e-03,-1.327118333756026466e-03,3.399215666403466685e+01
3.281853098842474076e-03,-1.346703421743051599e-03,3.398554792759877330e+01
3.273872684658019668e-03,-1.366237713892913498e-03,3.396260617608449195e+01
3.265782569947272163e-03,-1.385711244033736118e-03,3.392497618181624119e+01
3.257586844821708932e-03,-1.405115077124231447e-03,3.387414558400789844e+01
3.249289432616713109e-03,-1.424441211295929136e-03,3.381145985825425271e+01
3.240894098609311495e-03,-1.443682489176352805e-03,3.373813586015510424e+01
3.232404458270608013e-03,-1.462832517619684159e-03,3.365527407888691869e+01
3.223823985087169615e-03,-1.481885595052664971e-03,3.356386972360058962e+01
3.215156017978880801e-03,-1.500836645717244832e-03,3.346482275381940497e+01
3.206403768335955220e-03,-1.519681160158533077e-03,3.335894695442201652e+01
3.197570326694157677e-03,-1.538415141367475893e-03,3.324697814621447378e+01
3.188658669064853030e-03,-1.557035056042969110e-03,3.312958161442705318e+01
3.179671662934646214e-03,-1.575537790488296249e-03,3.300735882962922574e+01
3.170612072948208408e-03,-1.593920610702330909e-03,3.288085352846044884e+01
3.161482566287033072e-03,-1.612181126267271235e-03,3.275055721515481366e+01
3.152285717756308711e-03,-1.630317257672165340e-03,3.261691413902948966e+01
3.143024014591739180e-03,-1.648327206745514584e-03,3.248032579785171947e+01
3.133699860997881705e-03,-1.666209429901056903e-03,3.234115501224493983e+01
3.124315582429380671e-03,-1.683962613928827266e-03,3.219972961199283645e+01
3.114873429626349461e-03,-1.701585654088928019e-03,3.205634577120845563e+01
3.105375582414987828e-03,-1.719077634288426314e-03,3.191127102581413411e+01
3.095824153284377437e-03,-1.736437809142615286e-03,3.176474700359266023e+01
3.086221190750249033e-03,-1.753665587740768552e-03,3.161699189418733624e+01
3.076568682516295661e-03,-1.770760518953568832e-03,3.146820268382104757e+01
3.066868558443403003e-03,-1.787722278134930287e-03,3.131855717714525511e+01
3.057122693336934965e-03,-1.804550655084916034e-03,3.116821582649474465e+01
3.047332909561916488e-03,-1.821245543153174763e-03,3.101732338689316393e+01
3.037500979495675810e-03,-1.837806929373820728e-03,3.086601041340660245e+01
3.027628627827206546e-03,-1.854234885533078249e-03,3.071439461586180641e+01
3.017717533712153521e-03,-1.870529560080462592e-03,3.056258208451521341e+01
3.007769332792018316e-03,-1.886691170802764963e-03,3.041066839896485519e+01
2.997785619085793687e-03,-1.902719998187868715e-03,3.025873963142633727e+01
2.987767946761910303e-03,-1.918616379412378409e-03,3.010687325443504747e+01
2.977717831797989378e-03,-1.934380702893380736e-03,2.995513896207786786e+01
2.967636753535575576e-03,-1.950013403350383699e-03,2.980359941299096604e+01
