accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
9.936408942436939506e-01,6.904732707263920577e-02,-9.793931519954394815e+00
9.890789573361884468e-01,7.663635043737959673e-02,-9.784438454094633641e+00
1.007363576115960946e+00,8.858659129946733213e-02,-9.796574067418013954e+00
1.003718241011758883e+00,8.608805919736388368e-02,-9.806735843883432224e+00
9.982511526124573376e-01,9.093611155399643209e-02,-9.784101045850700729e+00
1.006386580138634468e+00,9.255280898704350279e-02,-9.793041346522958435e+00
1.007855945012118726e+00,1.025892703225755737e-01,-9.807820114778103004e+00
1.026727589789207196e+00,9.997128514620183537e-02,-9.777712118641350258e+00
1.003349400228240151e+00,1.061425226570030383e-01,-9.795297153283790692e+00
9.932400457010374106e-01,9.428418961221797512e-02,-9.793776177902985935e+00
1.003682027130236465e+00,9.734017369517057594e-02,-9.791521436650224786e+00
9.940523870625279645e-01,1.211084582560979922e-01,-9.799579710056853799e+00
9.954918824597768223e-01,1.223171481095248342e-01,-9.789425244535539861e+00
1.004410625326272788e+00,1.310342476605471373e-01,-9.804574108573589797e+00
9.932516524024180837e-01,1.342485793228833102e-01,-9.793939619588952539e+00
9.987445884067859270e-01,1.499733620815399959e-01,-9.806906140925383042e+00
1.011478533505963950e+00,1.418908875591047558e-01,-9.793495302927091473e+00
1.000020670589431226e+00,1.387163330097304914e-01,-9.784815787455913849e+00
1.001565373509353707e+00,1.469915261681606911e-01,-9.795203428542743396e+00
9.949658754587650256e-01,1.528850905070880117e-01,-9.787219355162378065e+00
9.917280165772663914e-01,1.601574406712385212e-01,-9.797776851847151747e+00
1.004988759720787384e+00,1.709279084308248653e-01,-9.790963705617604873e+00
9.943525556016501454e-01,1.782571340397003934e-01,-9.803036216840540717e+00
9.865968414981806101e-01,1.882015840684757857e-01,-9.797875243429455594e+00
9.876534320273506751e-01,1.970322684197670926e-01,-9.789889564415105383e+00
9.904896937255398548e-01,2.054643856141710190e-01,-9.794670426522035456e+00
1.009007546803776023e+00,2.178123493817009093e-01,-9.794961879466296040e+00
9.881117827253291797e-01,2.098588476158855243e-01,-9.815249125652576012e+00
9.949031614066154994e-01,2.149439694419104097e-01,-9.799096294655084805e+00
9.875325676127794106e-01,2.159067601755084997e-01,-9.798997621922643120e+00
1.007548975558560045e+00,2.299979480101685958e-01,-9.800396502197745718e+00
9.947762700693212334e-01,2.360837654455435197e-01,-9.795873719934228063e+00
1.002342100642901856e+00,2.508850752115296956e-01,-9.797057594822106807e+00
1.019402415208238377e+00,2.619958113248783693e-01,-9.797311657264762275e+00
1.004638631063359044e+00,2.415370591655454646e-01,-9.800614730565522237e+00
1.000153422917287038e+00,2.577645283886229044e-01,-9.785023286927165387e+00
1.020734538140111392e+00,2.808184166743187826e-01,-9.797365807353205724e+00
9.900223225178170772e-01,2.745437098200160797e-01,-9.796122272774592687e+00
1.004195413712242635e+00,2.988137581938764553e-01,-9.786093197654345488e+00
9.965115551296191976e-01,2.918728976898252170e-01,-9.784593476821692448e+00
1.002104840843401901e+00,3.090197029946551988e-01,-9.789677951807002287e+00
9.963518829881844452e-01,2.998226430427715083e-01,-9.805047219172184469e+00
9.930458503322896480e-01,3.165582058107271335e-01,-9.804286287990315429e+00
9.987679833812175278e-01,3.314510343803538928e-01,-9.785884050489752184e+00
1.000480285696120131e+00,3.294249188086910696e-01,-9.788878775887395634e+00
9.885454515684471977e-01,3.378251613971393619e-01,-9.791569338776049847e+00
9.859277491574998109e-01,3.453661623949709769e-01,-9.801943728933590450e+00
9.956230842196098774e-01,3.417126258994913623e-01,-9.795879078980576082e+00
9.963370363065595647e-01,3.591518297488872080e-01,-9.806029810463208207e+00
9.927540169557028671e-01,3.719186825606799474e-01,-9.795229379422600857e+00
9.956449839952900005e-01,3.872556698885200599e-01,-9.786503218163028706e+00
1.004102865629850516e+00,3.825907098877380230e-01,-9.796464366873587792e+00
9.959243294020417858e-01,4.096314238925472528e-01,-9.809697877521996290e+00
1.001469467891044518e+00,4.047293680223390533e-01,-9.789333267907533553e+00
1.000103684630378797e+00,4.071815512565096773e-01,-9.791262438277321678e+00
9.929001833293665813e-01,4.206748144234866427e-01,-9.803128014028622772e+00
9.919868962497419007e-01,4.485955022185195151e-01,-9.786001292225900983e+00
1.001546229933987231e+00,4.401946881011095103e-01,-9.778152449536229085e+00
1.003135060596874961e+00,4.664687334275068320e-01,-9.784789796361190284e+00
1.006218928352037523e+00,4.642972740721690306e-01,-9.795561545153612215e+00
1.007501850027370693e+00,4.692542398156889227e-01,-9.785483335953763628e+00
9.897886360410637074e-01,4.730099998757554269e-01,-9.799340385670095799e+00
1.001368240337558557e+00,4.810183590812881493e-01,-9.798845748188817595e+00
1.000770409370141278e+00,4.969523599193702568e-01,-9.789561553308494979e+00
1.000177503127928746e+00,5.228832868434313275e-01,-9.792754978189837090e+00
1.008715718943956619e+00,5.156879766234561124e-01,-9.790323445920384060e+00
1.000899720372275370e+00,5.376620359517676473e-01,-9.796940888988618923e+00
9.939374818780412069e-01,5.429079845038230490e-01,-9.802003803563335893e+00
9.788456140740355860e-01,5.538422259870726672e-01,-9.793286573885410462e+00
9.959952697105008967e-01,5.697521542910326531e-01,-9.792691149181132815e+00
1.005004360691132748e+00,5.820947175584155753e-01,-9.793450089967690175e+00
9.981190154531400793e-01,5.835237147004480596e-01,-9.795460245787250386e+00
1.000164411457426628e+00,5.981306791940622647e-01,-9.784757821310908099e+00
1.000164532269838702e+00,6.223938530907344724e-01,-9.792035241786143374e+00
1.004422491049029142e+00,6.214676159045929849e-01,-9.788153511731930934e+00
1.001349313177707145e+00,6.283376237968361089e-01,-9.810221604764816306e+00
1.010153676553884772e+00,6.536753303389303271e-01,-9.798979736850917277e+00
1.010329767638044052e+00,6.566025669962927136e-01,-9.800807206164313001e+00
1.005393724203319739e+00,6.625195774110064217e-01,-9.797741550074531958e+00
1.005827195598589352e+00,6.754158821961564474e-01,-9.791912146102069059e+00
9.995466147397072953e-01,6.797743880268654060e-01,-9.786691095407523022e+00
9.959871401587846451e-01,6.855421923784019711e-01,-9.786774887265233147e+00
9.939232362009373656e-01,7.019423825918208459e-01,-9.796903840469704861e+00
1.001263353098585496e+00,7.143439240967708326e-01,-9.799140819274441583e+00
9.996246895679467004e-01,7.097925238462649000e-01,-9.790360833901170068e+00
1.006978923419010297e+00,7.229218274419751955e-01,-9.778144172637837528e+00
1.005495847521459707e+00,7.293063961100008097e-01,-9.800072229139633606e+00
1.000254906429389301e+00,7.170010902267476283e-01,-9.801107732300980757e+00
1.006529575397090204e+00,7.314453976654603506e-01,-9.788681566903973064e+00
9.946155293920444507e-01,7.510466127966498595e-01,-9.800421664899346297e+00
9.918822527175977788e-01,7.505995081090348631e-01,-9.777469916396636762e+00
9.943431896930807756e-01,7.572662228377150528e-01,-9.812062074509533716e+00
9.874132687738061964e-01,7.730584901164231360e-01,-9.790778675213221760e+00
1.013753330236901951e+00,7.491427763467258805e-01,-9.771694026719378812e+00
1.006527220722045701e+00,7.642073054378240027e-01,-9.782882398633381271e+00
9.947155676813626002e-01,7.647587013514905996e-01,-9.795371865024463887e+00
1.005146797028054761e+00,7.810436558261616424e-01,-9.805749717179994107e+00
9.939304159073378830e-01,7.618236703451093383e-01,-9.807053217721280802e+00
1.002755262608141296e+00,7.824366144174486060e-01,-9.789888467013650342e+00
9.890659228391186497e-01,7.891266094788357277e-01,-9.788952743065417295e+00
9.966674887133676330e-01,7.796324305414674694e-01,-9.792488158656681208e+00
9.866325965587529057e-01,7.978447240396753237e-01,-9.794442196519632660e+00
