ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
1.000000000000000000e+00,8.306066707720871634e-01,-9.794717754039693247e+00
1.000000000000000000e+00,8.311859234494785031e-01,-9.794716185075708736e+00
1.000000000000000000e+00,8.317321736129971166e-01,-9.794714613661723135e+00
1.000000000000000000e+00,8.322461104054000858e-01,-9.794713039881363770e+00
1.000000000000000000e+00,8.327283848103682606e-01,-9.794711463816639707e+00
1.000000000000000000e+00,8.331796128445679850e-01,-9.794709885548005701e+00
1.000000000000000000e+00,8.336003784706739195e-01,-9.794708305154408379e+00
1.000000000000000000e+00,8.339912362556719527e-01,-9.794706722713314662e+00
1.000000000000000000e+00,8.343527137966569862e-01,-9.794705138300765057e+00
1.000000000000000000e+00,8.346853139344174721e-01,-9.794703551991409185e+00
1.000000000000000000e+00,8.349895167733438761e-01,-9.794701963858530647e+00
1.000000000000000000e+00,8.352657815245906336e-01,-9.794700373974094987e+00
1.000000000000000000e+00,8.355145481879509006e-01,-9.794698782408765680e+00
1.000000000000000000e+00,8.357362390865642476e-01,-9.794697189231939660e+00
1.000000000000000000e+00,8.359312602673470982e-01,-9.794695594511779291e+00
1.000000000000000000e+00,8.361000027789171618e-01,-9.794693998315221251e+00
1.000000000000000000e+00,8.362428438377556006e-01,-9.794692400708029822e+00
1.000000000000000000e+00,8.363601478924169719e-01,-9.794690801754788012e+00
1.000000000000000000e+00,8.364522675947397845e-01,-9.794689201518934851e+00
1.000000000000000000e+00,8.365195446862307982e-01,-9.794687600062793820e+00
1.000000000000000000e+00,8.365623108070814329e-01,-9.794685997447578174e+00
1.000000000000000000e+00,8.365808882346204012e-01,-9.794684393733417593e+00
1.000000000000000000e+00,8.365755905574167040e-01,-9.794682788979370613e+00
1.000000000000000000e+00,8.365467232906990125e-01,-9.794681183243453049e+00
1.000000000000000000e+00,8.364945844382615237e-01,-9.794679576582646874e+00
1.000000000000000000e+00,8.364194650055734037e-01,-9.794677969052912658e+00
1.000000000000000000e+00,8.363216494683995972e-01,-9.794676360709216212e+00
1.000000000000000000e+00,8.362014162008516438e-01,-9.794674751605537466e+00
1.000000000000000000e+00,8.360590378664546352e-01,-9.794673141794884685e+00
1.000000000000000000e+00,8.358947817754963650e-01,-9.794671531329306902e+00
