gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
4.640749027899067347e-02,-9.854902250673652775e-02,1.595397144063491268e+01
6.062621362566713440e-02,3.471704671933149573e-04,1.579488249630270325e+01
-6.201042876310755569e-02,-3.612322278727543579e-02,1.568926506211730931e+01
2.766513035446860336e-01,-2.027678947631635364e-01,1.555667049666425150e+01
3.762036833300475003e-02,2.295965438960135552e-01,1.566331573979560332e+01
1.016359256131411370e-01,8.420626934337754887e-02,1.568426917766162987e+01
1.316825617016011696e-01,-9.997578608643413467e-02,1.540927812277123721e+01
2.388684593505543130e-01,6.077303176445393584e-02,1.557261562464507598e+01
-1.450396082867422276e-01,1.307807140976665061e-01,1.520172743076765798e+01
-3.374889766799016866e-01,-2.948933194134379515e-02,1.529029560734944404e+01
3.287291709780423843e-02,-4.909063788811623280e-02,1.525658608424175711e+01
8.036719290930720294e-02,6.218193501134567334e-03,1.511692145126911946e+01
1.016588164143122225e-02,-1.278235750857934505e-01,1.512936408156251389e+01
-1.064819186530614886e-01,-8.450748946017619390e-03,1.475175636711435878e+01
3.670412616190682487e-01,7.165462968362834584e-02,1.478797102486214499e+01
1.428501556597937781e-02,4.558921564920591363e-02,1.483637269502857592e+01
-1.402827007178592544e-01,1.135436322207219600e-01,1.470088514703938998e+01
-2.275405850738099200e-01,9.654010917796669589e-03,1.466842111165636275e+01
-1.226271082868517770e-01,-2.352919592352868683e-02,1.470123692130738213e+01
-7.925451310319577003e-02,3.863401952115774057e-03,1.453531759098791731e+01
8.220375566077635365e-02,2.437188096455345648e-02,1.430718923023893474e+01
6.834814438748183785e-02,8.972005299946272938e-02,1.443099022189474745e+01
1.179817898012799765e-01,4.610945362558573762e-02,1.411597127903817395e+01
-1.299522967455842178e-02,-1.404258219934897967e-01,1.412554291594195810e+01
7.987395901917554442e-02,-3.284365180493225428e-02,1.421332060863746527e+01
1.181884833526320733e-01,3.927969632390442695e-02,1.410560542265312733e+01
2.349432157045482361e-01,1.148009089114514214e-02,1.397633671404234157e+01
7.494383315732852657e-02,-3.116447142879621435e-01,1.366151361426130428e+01
1.146832293017935878e-01,8.110117065736663355e-02,1.369371592077485467e+01
2.845703528113487923e-01,7.355378347202130851e-02,1.360008852897697906e+01
1.679774448250010155e-01,2.668120140297746690e-01,1.367029049135571483e+01
-1.113905953938532506e-01,6.399360259302143417e-02,1.368867728128245531e+01
6.016292000506108517e-02,2.484925840787228501e-01,1.349809963444917393e+01
8.070649399797243106e-02,1.681426901090311010e-01,1.338038322156523918e+01
9.026979219879091576e-02,-2.519463747600031445e-02,1.328655094193652886e+01
2.651169738153279914e-02,-1.987132434565844208e-01,1.327895908852973328e+01
-1.899351286290935636e-01,-1.924944628336957772e-02,1.310144215844568549e+01
2.908704421102888404e-01,-1.098022261850748610e-01,1.317034565915021282e+01
1.044473729230818715e-01,-1.457026168789049558e-01,1.301286234135606890e+01
-7.600079020556525788e-02,3.732484134388702052e-02,1.311429950600426508e+01
-1.051992975573011468e-01,-1.551788991598790912e-01,1.290851753273272706e+01
1.117293835071332814e-01,-2.296526286241147852e-01,1.289279523713674713e+01
-5.497168213192630409e-02,-1.216784581094693396e-01,1.276291624670679781e+01
1.433665038786226080e-02,-9.452232362355700301e-02,1.290581685068990758e+01
-1.200481522926741089e-02,2.245994393827689672e-01,1.267462409154245151e+01
-1.990250278551677215e-02,5.626041613893928428e-02,1.249994614049482422e+01
2.124469985602701616e-01,1.246816472396403142e-01,1.250301468412140338e+01
6.643260240603494904e-02,1.362864278100890669e-01,1.242561393845568674e+01
2.551115316436945030e-02,-1.559299726539038200e-01,1.228286066257993525e+01
-4.638687845524661069e-02,-1.295241867908301370e-01,1.216329094162026969e+01
