mag_x (uT),mag_y (uT),mag_z (uT)
3.131830124375517599e+01,-9.632865823347797729e+00,3.774801107693129154e+01
3.122378518359604982e+01,-9.748725240741240583e+00,3.781802479829002550e+01
3.131444844829625396e+01,-9.723345065072717119e+00,3.769090228696844491e+01
3.135300654479706495e+01,-1.003503725509500200e+01,3.774104620568775914e+01
3.124966491818616632e+01,-1.020235721586138311e+01,3.783802941865307901e+01
3.116107897883544098e+01,-1.014150965286076556e+01,3.766756112741079932e+01
3.100306257684179556e+01,-1.038593599999915007e+01,3.763690597509190638e+01
3.098609353810666889e+01,-1.057406957154620741e+01,3.754807068596083752e+01
3.090589978032369345e+01,-1.069784646085338586e+01,3.751452736312781155e+01
3.095328745501289802e+01,-1.081311598554113651e+01,3.782830638779704913e+01
3.079476979611263232e+01,-1.103908860898505573e+01,3.771657487977885381e+01
3.060185102569110427e+01,-1.111153472305810297e+01,3.768675240732588350e+01
3.074422583047998003e+01,-1.126553481064247997e+01,3.756938113339080587e+01
3.077778321384740323e+01,-1.143414187924898506e+01,3.760562519724336994e+01
3.064196366699426122e+01,-1.173461551493350363e+01,3.781381436084289760e+01
3.038122979039451366e+01,-1.168773783059038607e+01,3.769853135732162741e+01
3.050137824163959266e+01,-1.191741133745303571e+01,3.780907195520585162e+01
3.047544047091455255e+01,-1.205163176529156566e+01,3.763553334658285365e+01
3.031398838031788046e+01,-1.238243542263963448e+01,3.771209702469823100e+01
3.027375772024014111e+01,-1.239962968322834413e+01,3.762788768256115901e+01
3.027186634492680639e+01,-1.255081688194993461e+01,3.784111656941565371e+01
3.041145137295968226e+01,-1.269718080772439528e+01,3.775537796752208664e+01
3.005912981543035656e+01,-1.289969896609119182e+01,3.780377524482931761e+01
2.990386429559265480e+01,-1.293939890668510984e+01,3.775761795837311041e+01
3.005157962124080129e+01,-1.319635595228333891e+01,3.777745333258823734e+01
2.988074920477124863e+01,-1.335192467841346620e+01,3.767728426184066137e+01
2.979900859463586826e+01,-1.354561303595722244e+01,3.763036167234503182e+01
2.982844965794638625e+01,-1.371599021429678267e+01,3.764845321409983825e+01
2.960448740282266655e+01,-1.383206716001389758e+01,3.767404603692521192e+01
2.975940533462834026e+01,-1.419328111549953420e+01,3.774008672499096662e+01
2.951172129298405622e+01,-1.416297533276273235e+01,3.758902992008773936e+01
