ref_mag_x (uT),ref_mag_y (uT),ref_mag_z (uT)
3.041595436659689966e+01,-1.207840995755717017e+01,3.768088012852683732e+01
3.035273569509431724e+01,-1.223640890774202639e+01,3.768088012852683732e+01
3.028807654575801678e+01,-1.239559140549673266e+01,3.768088012852683732e+01
3.022195482383888887e+01,-1.255594336398355004e+01,3.768088012852683732e+01
3.015434833437116779e+01,-1.271745036015977881e+01,3.768088012852683732e+01
3.008523478685221519e+01,-1.288009762982014017e+01,3.768088012852683732e+01
3.001459180003406502e+01,-1.304387006264049731e+01,3.768088012852683732e+01
2.994239690682805133e+01,-1.320875219722495686e+01,3.768088012852683732e+01
2.986862755932412128e+01,-1.337472821615844332e+01,3.768088012852683732e+01
2.979326113392619391e+01,-1.354178194106684074e+01,3.768088012852683732e+01
2.971627493660503561e+01,-1.370989682768695239e+01,3.768088012852683732e+01
2.963764620827002361e+01,-1.387905596094844540e+01,3.768088012852683732e+01
2.955735213026131447e+01,-1.404924205007011118e+01,3.768088012852683732e+01
2.947546015526394214e+01,-1.422025020065290413e+01,3.768088012852683732e+01
2.939205514921351892e+01,-1.439185051476398414e+01,3.768088012852683732e+01
2.930721666274083859e+01,-1.456383598564907800e+01,3.768088012852683732e+01
2.922101935469077461e+01,-1.473602032458250122e+01,3.768088012852683732e+01
2.913353337238594776e+01,-1.490823599135039856e+01,3.768088012852683732e+01
2.904482469470439909e+01,-1.508033240971865041e+01,3.768088012852683732e+01
2.895495544296927193e+01,-1.525217435087159856e+01,3.768088012852683732e+01
2.886398416378304077e+01,-1.542364046931213650e+01,3.768088012852683732e+01
2.877196608723859228e+01,-1.559462197709561870e+01,3.768088012852683732e+01
2.867895336337311463e+01,-1.576502144353731438e+01,3.768088012852683732e+01
2.858499527927195771e+01,-1.593475170869383106e+01,3.768088012852683732e+01
2.849013845885748353e+01,-1.610373489998052676e+01,3.768088012852683732e+01
2.839442704709528087e+01,-1.627190154225698038e+01,3.768088012852683732e+01
2.829790288010389077e+01,-1.643918975259818183e+01,3.768088012852683732e+01
2.820060564245247292e+01,-1.660554451177675261e+01,3.768088012852683732e+01
2.810257301276554642e+01,-1.677091700521777540e+01,3.768088012852683732e+01
