ref_gps_lat (deg),ref_gps_lon (deg),ref_gps_alt (m),ref_gps_vN (m/s),ref_gps_vE (m/s),ref_gps_vD (m/s)
3.200005601497252883e+01,1.200002200747143064e+02,0.000000000000000000e+00,1.584823479938929636e-01,3.996859185081997001e+00,0.000000000000000000e+00
3.200005615456754526e+01,1.200002243046567685e+02,0.000000000000000000e+00,1.503608480338999298e-01,3.997172952897898757e+00,0.000000000000000000e+00
3.200005628700879612e+01,1.200002285349160900e+02,0.000000000000000000e+00,1.426551651908918028e-01,3.997455378593279818e+00,0.000000000000000000e+00
3.200005641266257328e+01,1.200002327654605949e+02,0.000000000000000000e+00,1.353440642911786784e-01,3.997709592286704083e+00,0.000000000000000000e+00
3.200005653187645294e+01,1.200002369962618189e+02,0.000000000000000000e+00,1.284073866450333168e-01,3.997938411613537468e+00,0.000000000000000000e+00
3.200005664498027613e+01,1.200002412272940973e+02,0.000000000000000000e+00,1.218259966435463054e-01,3.998144372898731369e+00,0.000000000000000000e+00
3.200005675228698721e+01,1.200002454585343798e+02,0.000000000000000000e+00,1.155817308323972420e-01,3.998329759224190205e+00,0.000000000000000000e+00
3.200005685409355038e+01,1.200002496899618336e+02,0.000000000000000000e+00,1.096573493736493071e-01,3.998496625699254903e+00,0.000000000000000000e+00
3.200005695068175271e+01,1.200002539215578281e+02,0.000000000000000000e+00,1.040364898056708731e-01,3.998646822212346574e+00,0.000000000000000000e+00
3.200005704231894299e+01,1.200002581533054808e+02,0.000000000000000000e+00,9.870362301115657988e-02,3.998782013914293554e+00,0.000000000000000000e+00
3.200005712925880630e+01,1.200002623851896288e+02,0.000000000000000000e+00,9.364401130376787119e-02,3.998903699659060340e+00,0.000000000000000000e+00
3.200005721174203899e+01,1.200002666171966865e+02,0.000000000000000000e+00,8.884366854507545763e-02,3.999013228605206027e+00,0.000000000000000000e+00
3.200005728999701660e+01,1.200002708493143189e+02,0.000000000000000000e+00,8.428932220499339711e-02,3.999111815161237260e+00,0.000000000000000000e+00
3.200005736424041913e+01,1.200002750815315409e+02,0.000000000000000000e+00,7.996837728086964026e-02,3.999200552439830858e+00,0.000000000000000000e+00
3.200005743467784214e+01,1.200002793138383339e+02,0.000000000000000000e+00,7.586888199257008081e-02,3.999280424369511255e+00,0.000000000000000000e+00
