q0 (),q1,q2,q3
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.999999996874999741e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.499999999739583567e-05
9.999999971874999893e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.499999992968750388e-05
9.999999887500000684e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.499999994375000162e-04
9.999999687500001899e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.499999973958333399e-04
9.999999296875008437e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.749999912109375937e-04
9.999998621875031413e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.249999758828128790e-04
9.999997550000100377e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.999999428333348196e-04
9.999995950000273304e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.999998785000050145e-04
9.999993671875667678e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.124999762695327692e-03
9.999990546876489361e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.374999566731811883e-03
9.999986387503088103e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.649999251312601889e-03
9.999980987506024155e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.949998764187734889e-03
9.999974121886161527e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.274998037576028524e-03
9.999965546894783452e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.624996985352600828e-03
9.999955000033750041e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.999995500002024685e-03
9.999942200055680352e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.399993449337119621e-03
9.999926846964189986e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.824990672983385499e-03
9.999908622014166415e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.274986978629086339e-03
9.999887187712110936e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.749982138040983841e-03
9.999862187816537240e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.249975882845737095e-03
9.999833247338443254e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.774967900076965859e-03
9.999799972541852933e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.324957827488003441e-03
9.999761950944462408e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.899945248630336148e-03
9.999718751318357191e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.499929687697754442e-03
9.999669923690855944e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.124910604136222764e-03
9.999614999345450839e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.774887387019501828e-03
9.999553490822880031e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.449859349190525143e-03
9.999484891922333363e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.014982572116856878e-02
9.999408677702792403e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.087478564482223520e-02
9.999324304484544790e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.162473816680828498e-02
9.999231209850840685e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.239968223177634679e-02
9.999128812649750175e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.319961667533954205e-02
9.999016512996200534e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.402454021681107110e-02
9.998893692274214429e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.487445145170680251e-02
9.998759713139373506e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.574934884401392454e-02
9.998613919521501803e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.664923071822569170e-02
9.998455636627607834e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.757409525114236176e-02
9.998284170945067606e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.852394046343833894e-02
9.998098810245096280e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.949876421099568102e-02
9.997898823586495176e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.049856417600392361e-02
9.997683461319716303e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.152333785782644185e-02
9.997451955091234410e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.257308256363331489e-02
9.997203517848261001e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.364779539880090126e-02
9.996937343843814716e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.474747325707815290e-02
9.996652608642153659e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.587211281051981712e-02
9.996348469124604064e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.702171049918665816e-02
9.996024063495788647e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.819626252061276789e-02
9.995678511290284618e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.939576481904021196e-02
9.995310913379719109e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.062021307442105642e-02
9.994920351980329798e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.186960269118700034e-02
9.994505890661010694e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.314392878678675686e-02
9.994066574351856413e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.444318617999134885e-02
9.993601429353226040e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.576736937896757285e-02
9.993109463345359877e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.711647256911979054e-02
9.992589665398546872e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.849048960070018677e-02
9.992041005983893776e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.988941397618794155e-02
9.991462436984692719e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.131323883743732994e-02
9.990852891708417172e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.276195695259507601e-02
9.990211284899384037e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.423556070278734237e-02
9.989536512752078545e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.573404206857647342e-02
9.988827452925190808e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.725739261618788073e-02
9.988082964556365129e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.880560348350743843e-02
9.987301888277713147e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.037866536584952037e-02
9.986483046232088601e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.197656850149632440e-02
9.985625242090163667e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.359930265700855317e-02
9.984727261068336857e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.524685711230806207e-02
9.983787869947483573e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.691922064553273791e-02
9.982805817092585965e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.861638151766407345e-02
9.981779832473267611e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.033832745692793709e-02
9.980708627685263012e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.208504564296887102e-02
9.979590895972838549e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.385652269079854226e-02
9.978425312252202639e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.565274463451874210e-02
