ref_pos_lat (deg),ref_pos_lon (deg),ref_pos_alt (m)
3.200000041930574923e+01,1.200000000059705059e+02,0.000000000000000000e+00
3.200000044725359061e+01,1.200000000067840347e+02,0.000000000000000000e+00
3.200000047610178910e+01,1.200000000076779543e+02,0.000000000000000000e+00
3.200000050585015998e+01,1.200000000086574374e+02,0.000000000000000000e+00
3.200000053649849008e+01,1.200000000097276995e+02,0.000000000000000000e+00
3.200000056804655202e+01,1.200000000108942828e+02,0.000000000000000000e+00
3.200000060049409001e+01,1.200000000121627153e+02,0.000000000000000000e+00
3.200000063384083404e+01,1.200000000135387666e+02,0.000000000000000000e+00
3.200000066808649990e+01,1.200000000150283626e+02,0.000000000000000000e+00
3.200000070323075363e+01,1.200000000166375997e+02,0.000000000000000000e+00
3.200000073927326127e+01,1.200000000183726883e+02,0.000000000000000000e+00
3.200000077621364625e+01,1.200000000202400230e+02,0.000000000000000000e+00
3.200000081405151064e+01,1.200000000222461694e+02,0.000000000000000000e+00
3.200000085278642104e+01,1.200000000243977922e+02,0.000000000000000000e+00
3.200000089241792267e+01,1.200000000267017697e+02,0.000000000000000000e+00
3.200000093294551817e+01,1.200000000291651361e+02,0.000000000000000000e+00
3.200000097436867463e+01,1.200000000317950537e+02,0.000000000000000000e+00
3.200000101668684493e+01,1.200000000345988553e+02,0.000000000000000000e+00
3.200000105989942512e+01,1.200000000375840159e+02,0.000000000000000000e+00
3.200000110400576148e+01,1.200000000407581950e+02,0.000000000000000000e+00
3.200000114900519321e+01,1.200000000441291661e+02,0.000000000000000000e+00
3.200000119489698847e+01,1.200000000477049014e+02,0.000000000000000000e+00
3.200000124168039406e+01,1.200000000514935010e+02,0.000000000000000000e+00
3.200000128935458577e+01,1.200000000555032216e+02,0.000000000000000000e+00
3.200000133791871804e+01,1.200000000597424901e+02,0.000000000000000000e+00
3.200000138737188138e+01,1.200000000642198614e+02,0.000000000000000000e+00
3.200000143771311656e+01,1.200000000689440895e+02,0.000000000000000000e+00
3.200000148894141461e+01,1.200000000739239994e+02,0.000000000000000000e+00
3.200000154105570971e+01,1.200000000791686858e+02,0.000000000000000000e+00
3.200000159405489342e+01,1.200000000846872723e+02,0.000000000000000000e+00
3.200000164793777913e+01,1.200000000904891095e+02,0.000000000000000000e+00
3.200000170270311628e+01,1.200000000965836904e+02,0.000000000000000000e+00
3.200000175834962590e+01,1.200000001029806214e+02,0.000000000000000000e+00
3.200000181487592243e+01,1.200000001096897364e+02,0.000000000000000000e+00
3.200000187228058479e+01,1.200000001167209547e+02,0.000000000000000000e+00
3.200000193056211373e+01,1.200000001240843517e+02,0.000000000000000000e+00
3.200000198971893184e+01,1.200000001317901450e+02,0.000000000000000000e+00
3.200000204974939777e+01,1.200000001398487228e+02,0.000000000000000000e+00
3.200000211065178490e+01,1.200000001482706296e+02,0.000000000000000000e+00
3.200000217242431688e+01,1.200000001570665233e+02,0.000000000000000000e+00
3.200000223506508945e+01,1.200000001662472329e+02,0.000000000000000000e+00
3.200000229857217704e+01,1.200000001758237005e+02,0.000000000000000000e+00
3.200000236294350486e+01,1.200000001858070817e+02,0.000000000000000000e+00
3.200000242817696972e+01,1.200000001962085889e+02,0.000000000000000000e+00
3.200000249427034049e+01,1.200000002070396192e+02,0.000000000000000000e+00
3.200000256122132214e+01,1.200000002183117402e+02,0.000000000000000000e+00
3.200000262902749881e+01,1.200000002300365907e+02,0.000000000000000000e+00
3.200000269768639072e+01,1.200000002422259939e+02,0.000000000000000000e+00
3.200000276719538306e+01,1.200000002548919014e+02,0.000000000000000000e+00
3.200000283755178287e+01,1.200000002680464490e+02,0.000000000000000000e+00
3.200000290875279774e+01,1.200000002817018157e+02,0.000000000000000000e+00
3.200000298079551442e+01,1.200000002958703789e+02,0.000000000000000000e+00
3.200000305367692022e+01,1.200000003105646442e+02,0.000000000000000000e+00
3.200000312739389585e+01,1.200000003257972594e+02,0.000000000000000000e+00
3.200000320194319414e+01,1.200000003415809289e+02,0.000000000000000000e+00
3.200000327732145422e+01,1.200000003579286272e+02,0.000000000000000000e+00
3.200000335352520864e+01,1.200000003748533004e+02,0.000000000000000000e+00
3.200000343055085494e+01,1.200000003923681220e+02,0.000000000000000000e+00
3.200000350839467700e+01,1.200000004104863933e+02,0.000000000000000000e+00
3.200000358705281656e+01,1.200000004292214726e+02,0.000000000000000000e+00
3.200000366652129458e+01,1.200000004485869312e+02,0.000000000000000000e+00
3.200000374679601123e+01,1.200000004685963546e+02,0.000000000000000000e+00
3.200000382787271036e+01,1.200000004892635417e+02,0.000000000000000000e+00
3.200000390974700792e+01,1.200000005106023906e+02,0.000000000000000000e+00
3.200000399241437776e+01,1.200000005326268422e+02,0.000000000000000000e+00
3.200000407587014450e+01,1.200000005553510647e+02,0.000000000000000000e+00
3.200000416010949778e+01,1.200000005787892690e+02,0.000000000000000000e+00
3.200000424512745667e+01,1.200000006029557511e+02,0.000000000000000000e+00
3.200000433091891239e+01,1.200000006278649920e+02,0.000000000000000000e+00
3.200000441747858559e+01,1.200000006535315151e+02,0.000000000000000000e+00
3.200000450480104774e+01,1.200000006799699861e+02,0.000000000000000000e+00
3.200000459288069266e+01,1.200000007071951842e+02,0.000000000000000000e+00
3.200000468171176493e+01,1.200000007352219029e+02,0.000000000000000000e+00
3.200000477128833865e+01,1.200000007640651489e+02,0.000000000000000000e+00
3.200000486160431734e+01,1.200000007937399289e+02,0.000000000000000000e+00
3.200000495265341982e+01,1.200000008242614200e+02,0.000000000000000000e+00
3.200000504442920857e+01,1.200000008556448279e+02,0.000000000000000000e+00
3.200000513692504711e+01,1.200000008879054434e+02,0.000000000000000000e+00
3.200000523013413556e+01,1.200000009210587280e+02,0.000000000000000000e+00
3.200000532404948217e+01,1.200000009551201003e+02,0.000000000000000000e+00
3.200000541866389625e+01,1.200000009901051641e+02,0.000000000000000000e+00
3.200000551397000237e+01,1.200000010260295227e+02,0.000000000000000000e+00
3.200000560996024035e+01,1.200000010629089218e+02,0.000000000000000000e+00
3.200000570662683685e+01,1.200000011007591212e+02,0.000000000000000000e+00
3.200000580396183381e+01,1.200000011395959660e+02,0.000000000000000000e+00
3.200000590195705286e+01,1.200000011794353583e+02,0.000000000000000000e+00
3.200000600060435119e+01,1.200000012202925603e+02,0.000000000000000000e+00
3.200000609989562861e+01,1.200000012621819963e+02,0.000000000000000000e+00
3.200000619982287731e+01,1.200000013051173227e+02,0.000000000000000000e+00
3.200000630037811788e+01,1.200000013491115709e+02,0.000000000000000000e+00
3.200000640155345621e+01,1.200000013941770760e+02,0.000000000000000000e+00
3.200000650334104790e+01,1.200000014403255761e+02,0.000000000000000000e+00
3.200000660573309830e+01,1.200000014875683121e+02,0.000000000000000000e+00
3.200000670872188380e+01,1.200000015359159278e+02,0.000000000000000000e+00
3.200000681229972344e+01,1.200000015853786692e+02,0.000000000000000000e+00
3.200000691645897888e+01,1.200000016359662283e+02,0.000000000000000000e+00
3.200000702119206863e+01,1.200000016876879556e+02,0.000000000000000000e+00
3.200000712649147516e+01,1.200000017405528183e+02,0.000000000000000000e+00
3.200000723234970224e+01,1.200000017945693145e+02,0.000000000000000000e+00
3.200000733875931047e+01,1.200000018497457575e+02,0.000000000000000000e+00
3.200000744571291023e+01,1.200000019060899774e+02,0.000000000000000000e+00
3.200000755320315449e+01,1.200000019636095629e+02,0.000000000000000000e+00
3.200000766122273177e+01,1.200000020223118753e+02,0.000000000000000000e+00
3.200000776976437322e+01,1.200000020822038778e+02,0.000000000000000000e+00
3.200000787882085973e+01,1.200000021432924058e+02,0.000000000000000000e+00
3.200000798838500771e+01,1.200000022055840105e+02,0.000000000000000000e+00
3.200000809844966909e+01,1.200000022690849306e+02,0.000000000000000000e+00
3.200000820900773846e+01,1.200000023338013051e+02,0.000000000000000000e+00
3.200000832005216012e+01,1.200000023997390315e+02,0.000000000000000000e+00
3.200000843157589259e+01,1.200000024669037657e+02,0.000000000000000000e+00
3.200000854357194413e+01,1.200000025353010358e+02,0.000000000000000000e+00
3.200000865603335143e+01,1.200000026049361566e+02,0.000000000000000000e+00
3.200000876895321511e+01,1.200000026758142866e+02,0.000000000000000000e+00
3.200000888232464291e+01,1.200000027479404281e+02,0.000000000000000000e+00
3.200000899614078520e+01,1.200000028213194128e+02,0.000000000000000000e+00
3.200000911039482787e+01,1.200000028959559160e+02,0.000000000000000000e+00
3.200000922507999235e+01,1.200000029718544852e+02,0.000000000000000000e+00
3.200000934018954268e+01,1.200000030490195542e+02,0.000000000000000000e+00
3.200000945571677136e+01,1.200000031274553436e+02,0.000000000000000000e+00
3.200000957165500637e+01,1.200000032071660456e+02,0.000000000000000000e+00
3.200000968799761125e+01,1.200000032881556393e+02,0.000000000000000000e+00
3.200000980473797796e+01,1.200000033704280327e+02,0.000000000000000000e+00
3.200000992186954107e+01,1.200000034539870342e+02,0.000000000000000000e+00
3.200001003938576360e+01,1.200000035388362960e+02,0.000000000000000000e+00
3.200001015728015119e+01,1.200000036249793851e+02,0.000000000000000000e+00
3.200001027554623079e+01,1.200000037124197263e+02,0.000000000000000000e+00
3.200001039417757909e+01,1.200000038011606875e+02,0.000000000000000000e+00
3.200001051316780121e+01,1.200000038912055231e+02,0.000000000000000000e+00
3.200001063251053068e+01,1.200000039825573879e+02,0.000000000000000000e+00
3.200001075219944369e+01,1.200000040752193371e+02,0.000000000000000000e+00
3.200001087222825191e+01,1.200000041691943409e+02,0.000000000000000000e+00
3.200001099259069548e+01,1.200000042644852414e+02,0.000000000000000000e+00
3.200001111328055003e+01,1.200000043610948666e+02,0.000000000000000000e+00
3.200001123429163385e+01,1.200000044590258739e+02,0.000000000000000000e+00
3.200001135561780075e+01,1.200000045582809065e+02,0.000000000000000000e+00
3.200001147725292583e+01,1.200000046588624940e+02,0.000000000000000000e+00
3.200001159919093396e+01,1.200000047607730664e+02,0.000000000000000000e+00
3.200001172142578554e+01,1.200000048640149828e+02,0.000000000000000000e+00
3.200001184395146225e+01,1.200000049685905879e+02,0.000000000000000000e+00
3.200001196676200266e+01,1.200000050745020559e+02,0.000000000000000000e+00
3.200001208985146661e+01,1.200000051817515612e+02,0.000000000000000000e+00
3.200001221321395661e+01,1.200000052903411500e+02,0.000000000000000000e+00
3.200001233684360358e+01,1.200000054002728120e+02,0.000000000000000000e+00
3.200001246073458816e+01,1.200000055115484940e+02,0.000000000000000000e+00
3.200001258488111944e+01,1.200000056241700719e+02,0.000000000000000000e+00
3.200001270927743491e+01,1.200000057381392935e+02,0.000000000000000000e+00
3.200001283391783602e+01,1.200000058534579210e+02,0.000000000000000000e+00
3.200001295879662422e+01,1.200000059701275887e+02,0.000000000000000000e+00
3.200001308390817201e+01,1.200000060881499024e+02,0.000000000000000000e+00
3.200001320924686610e+01,1.200000062075264253e+02,0.000000000000000000e+00
3.200001333480714294e+01,1.200000063282585785e+02,0.000000000000000000e+00
3.200001346058347451e+01,1.200000064503478114e+02,0.000000000000000000e+00
3.200001358657036121e+01,1.200000065737954600e+02,0.000000000000000000e+00
3.200001371276235318e+01,1.200000066986028173e+02,0.000000000000000000e+00
3.200001383915404318e+01,1.200000068247711198e+02,0.000000000000000000e+00
3.200001396574003820e+01,1.200000069523015753e+02,0.000000000000000000e+00
3.200001409251499496e+01,1.200000070811952497e+02,0.000000000000000000e+00
3.200001421947361990e+01,1.200000072114532657e+02,0.000000000000000000e+00
3.200001434661064792e+01,1.200000073430766605e+02,0.000000000000000000e+00
3.200001447392084231e+01,1.200000074760663153e+02,0.000000000000000000e+00
3.200001460139903031e+01,1.200000076104232107e+02,0.000000000000000000e+00
3.200001472904005340e+01,1.200000077461481993e+02,0.000000000000000000e+00
3.200001485683878855e+01,1.200000078832420911e+02,0.000000000000000000e+00
3.200001498479017670e+01,1.200000080217056251e+02,0.000000000000000000e+00
3.200001511288917300e+01,1.200000081615395544e+02,0.000000000000000000e+00
3.200001524113078233e+01,1.200000083027445328e+02,0.000000000000000000e+00
3.200001536951004510e+01,1.200000084453211855e+02,0.000000000000000000e+00
3.200001549802204437e+01,1.200000085892701094e+02,0.000000000000000000e+00
3.200001562666189159e+01,1.200000087345918018e+02,0.000000000000000000e+00
3.200001575542474797e+01,1.200000088812867602e+02,0.000000000000000000e+00
3.200001588430580313e+01,1.200000090293554820e+02,0.000000000000000000e+00
3.200001601330028933e+01,1.200000091787982939e+02,0.000000000000000000e+00
3.200001614240348147e+01,1.200000093296156081e+02,0.000000000000000000e+00
3.200001627161068996e+01,1.200000094818077514e+02,0.000000000000000000e+00
3.200001640091725363e+01,1.200000096353749797e+02,0.000000000000000000e+00
3.200001653031856108e+01,1.200000097903175629e+02,0.000000000000000000e+00
3.200001665981003640e+01,1.200000099466356716e+02,0.000000000000000000e+00
3.200001678938714633e+01,1.200000101043295047e+02,0.000000000000000000e+00
3.200001691904538603e+01,1.200000102633991901e+02,0.000000000000000000e+00
3.200001704878028619e+01,1.200000104238448131e+02,0.000000000000000000e+00
3.200001717858743433e+01,1.200000105856664590e+02,0.000000000000000000e+00
3.200001730846243930e+01,1.200000107488640992e+02,0.000000000000000000e+00
3.200001743840095259e+01,1.200000109134377482e+02,0.000000000000000000e+00
3.200001756839865408e+01,1.200000110793873915e+02,0.000000000000000000e+00
3.200001769845128763e+01,1.200000112467129441e+02,0.000000000000000000e+00
3.200001782855459709e+01,1.200000114154142352e+02,0.000000000000000000e+00
3.200001795870440446e+01,1.200000115854911940e+02,0.000000000000000000e+00
3.200001808889653887e+01,1.200000117569436497e+02,0.000000000000000000e+00
3.200001821912687205e+01,1.200000119297713610e+02,0.000000000000000000e+00
3.200001834939132550e+01,1.200000121039741003e+02,0.000000000000000000e+00
3.200001847968584201e+01,1.200000122795516120e+02,0.000000000000000000e+00
3.200001861000642123e+01,1.200000124565036259e+02,0.000000000000000000e+00
3.200001874034907701e+01,1.200000126348298153e+02,0.000000000000000000e+00
