ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
3.598004182438738763e-01,1.198578456061750487e-02,0.000000000000000000e+00
3.697714518703169584e-01,1.300282206745870250e-02,0.000000000000000000e+00
3.797392163585774916e-01,1.407577917465345843e-02,0.000000000000000000e+00
3.897034425915105182e-01,1.520614455821803906e-02,0.000000000000000000e+00
3.996638470933779885e-01,1.639540565283856277e-02,0.000000000000000000e+00
4.096201316605156406e-01,1.764504855255422111e-02,0.000000000000000000e+00
4.195719829926035094e-01,1.895655790629147477e-02,0.000000000000000000e+00
4.295190723245879694e-01,2.033141680812136295e-02,0.000000000000000000e+00
4.394610550593036069e-01,2.177110668211255234e-02,0.000000000000000000e+00
4.493975704008479899e-01,2.327710716165304339e-02,0.000000000000000000e+00
4.593282409887625706e-01,2.485089596311390939e-02,0.000000000000000000e+00
4.692526725330768422e-01,2.649394875372884303e-02,0.000000000000000000e+00
4.791704534502757573e-01,2.820773901356384006e-02,0.000000000000000000e+00
4.890811545002517469e-01,2.999373789145178687e-02,0.000000000000000000e+00
4.989843284243061228e-01,3.185341405476721510e-02,0.000000000000000000e+00
5.088795095842681970e-01,3.378823353291731529e-02,0.000000000000000000e+00
5.187662136028015070e-01,3.579965955442546838e-02,0.000000000000000000e+00
5.286439370049712538e-01,3.788915237748466391e-02,0.000000000000000000e+00
5.385121568611480614e-01,4.005816911385871870e-02,0.000000000000000000e+00
5.483703304313284344e-01,4.230816354600958062e-02,0.000000000000000000e+00
5.582178948109529637e-01,4.464058593733056385e-02,0.000000000000000000e+00
5.680542665783077094e-01,4.705688283536529209e-02,0.000000000000000000e+00
5.778788414435981347e-01,4.955849686789368103e-02,0.000000000000000000e+00
5.876909938997860738e-01,5.214686653176688752e-02,0.000000000000000000e+00
5.974900768752838820e-01,5.482342597437413895e-02,0.000000000000000000e+00
6.072754213886060182e-01,5.758960476762552128e-02,0.000000000000000000e+00
6.170463362050775391e-01,6.044682767433569304e-02,0.000000000000000000e+00
6.268021074957046412e-01,6.339651440689478279e-02,0.000000000000000000e+00
6.365419984983161639e-01,6.644007937811380327e-02,0.000000000000000000e+00
6.462652491810875199e-01,6.957893144413318520e-02,0.000000000000000000e+00
6.559710759085604082e-01,7.281447363928449101e-02,0.000000000000000000e+00
6.656586711102813192e-01,7.614810290279641625e-02,0.000000000000000000e+00
6.753272029521752984e-01,7.958120979723795618e-02,0.000000000000000000e+00
6.849758150107871923e-01,8.311517821859297495e-02,0.000000000000000000e+00
6.946036259505150579e-01,8.675138509786183005e-02,0.000000000000000000e+00
7.042097292039725120e-01,9.049120009408784249e-02,0.000000000000000000e+00
7.137931926556151385e-01,9.433598527870735995e-02,0.000000000000000000e+00
7.233530583287731686e-01,9.828709481112461732e-02,0.000000000000000000e+00
7.328883420762356549e-01,1.023458746054143748e-01,0.000000000000000000e+00
7.423980332745330202e-01,1.065136619880565766e-01,0.000000000000000000e+00
7.518810945220735231e-01,1.107917853466105773e-01,0.000000000000000000e+00
7.613364613412876292e-01,1.151815637692370636e-01,0.000000000000000000e+00
7.707630418849429343e-01,1.196843066749794793e-01,0.000000000000000000e+00
7.801597166467933997e-01,1.243013134347176474e-01,0.000000000000000000e+00
7.895253381767317613e-01,1.290338729827101016e-01,0.000000000000000000e+00
7.988587308006185328e-01,1.338832634186427895e-01,0.000000000000000000e+00
8.081586903449635706e-01,1.388507516001050157e-01,0.000000000000000000e+00
8.174239838666425007e-01,1.439375927254163690e-01,0.000000000000000000e+00
8.266533493878321925e-01,1.491450299067303975e-01,0.000000000000000000e+00
8.358454956363559063e-01,1.544742937333445365e-01,0.000000000000000000e+00
8.449991017916300695e-01,1.599266018251476462e-01,0.000000000000000000e+00
8.541128172364133020e-01,1.655031583761411851e-01,0.000000000000000000e+00
8.631852613145565289e-01,1.712051536879709568e-01,0.000000000000000000e+00
8.722150230949625715e-01,1.770337636934121717e-01,0.000000000000000000e+00
8.812006611419664903e-01,1.829901494697518949e-01,0.000000000000000000e+00
8.901407032923494000e-01,1.890754567420176169e-01,0.000000000000000000e+00
8.990336464392068017e-01,1.952908153760038179e-01,0.000000000000000000e+00
9.078779563228938088e-01,2.016373388610524231e-01,0.000000000000000000e+00
9.166720673292761967e-01,2.081161237825460975e-01,0.000000000000000000e+00
9.254143822955182008e-01,2.147282492840792423e-01,0.000000000000000000e+00
9.341032723236437629e-01,2.214747765192729423e-01,0.000000000000000000e+00
9.427370766021123671e-01,2.283567480932064686e-01,0.000000000000000000e+00
9.513141022356540466e-01,2.353751874934416621e-01,0.000000000000000000e+00
9.598326240836122514e-01,2.425310985106204631e-01,0.000000000000000000e+00
9.682908846070491515e-01,2.498254646486212371e-01,0.000000000000000000e+00
9.766870937248696150e-01,2.572592485242641835e-01,0.000000000000000000e+00
9.850194286792272047e-01,2.648333912565600801e-01,0.000000000000000000e+00
9.932860339104773173e-01,2.725488118455031694e-01,0.000000000000000000e+00
1.001485020941947912e+00,2.804064065404130446e-01,0.000000000000000000e+00
1.009614468274802723e+00,2.884070481978356359e-01,0.000000000000000000e+00
1.017672421293274398e+00,2.965515856290200647e-01,0.000000000000000000e+00
1.025656892180550672e+00,3.048408429369920403e-01,0.000000000000000000e+00
1.033565859845602342e+00,3.132756188432516686e-01,0.000000000000000000e+00
1.041397269861238595e+00,3.218566860041285893e-01,0.000000000000000000e+00
1.049149034413689341e+00,3.305847903168339652e-01,0.000000000000000000e+00
1.056819032264009861e+00,3.394606502152542893e-01,0.000000000000000000e+00
1.064405108721612425e+00,3.484849559555390774e-01,0.000000000000000000e+00
1.071905075630227744e+00,3.576583688915409009e-01,0.000000000000000000e+00
1.079316711366608894e+00,3.669815207401727619e-01,0.000000000000000000e+00
1.086637760852291246e+00,3.764550128367541992e-01,0.000000000000000000e+00
1.093868387870016612e+00,3.860724673149493746e-01,0.000000000000000000e+00
1.101009331047329898e+00,3.958262913788232473e-01,0.000000000000000000e+00
1.108061301496928719e+00,4.057094429822089565e-01,0.000000000000000000e+00
1.115024985207119235e+00,4.157153862486514528e-01,0.000000000000000000e+00
1.121901045010623044e+00,4.258380504418011747e-01,0.000000000000000000e+00
1.128690122234884408e+00,4.360717922193586560e-01,0.000000000000000000e+00
1.135392838113772562e+00,4.464113609216896483e-01,0.000000000000000000e+00
1.142009795022020935e+00,4.568518666633244463e-01,0.000000000000000000e+00
1.148541577579020201e+00,4.673887510117226141e-01,0.000000000000000000e+00
1.154988753656928546e+00,4.780177600529261772e-01,0.000000000000000000e+00
1.161351875318943350e+00,4.887349196580653699e-01,0.000000000000000000e+00
1.167631479706441100e+00,4.995365127781444259e-01,0.000000000000000000e+00
1.173828089888203641e+00,5.104190586071540858e-01,0.000000000000000000e+00
1.179942215680735096e+00,5.213792934653620481e-01,0.000000000000000000e+00
1.185974354445492374e+00,5.324141532656695430e-01,0.000000000000000000e+00
1.191924991866503580e+00,5.435207574362157512e-01,0.000000000000000000e+00
1.197794602710112288e+00,5.546963941820127753e-01,0.000000000000000000e+00
1.203583651567381008e+00,5.659385069773323895e-01,0.000000000000000000e+00
1.209292593578850994e+00,5.772446821888778112e-01,0.000000000000000000e+00
1.214921875140825058e+00,5.886126377375057173e-01,0.000000000000000000e+00
1.220471934592031626e+00,6.000402127134367714e-01,0.000000000000000000e+00
1.225943202879394622e+00,6.115253578665517109e-01,0.000000000000000000e+00
1.231336104201611992e+00,6.230661268995446589e-01,0.000000000000000000e+00
1.236651056629320067e+00,6.346606684974177570e-01,0.000000000000000000e+00
1.241888472700745538e+00,6.463072190321043076e-01,0.000000000000000000e+00
1.247048759991922218e+00,6.580040958858935918e-01,0.000000000000000000e+00
1.252132321660724523e+00,6.697496913418674591e-01,0.000000000000000000e+00
1.257139556964180338e+00,6.815424669937355517e-01,0.000000000000000000e+00
1.262070861748710193e+00,6.933809486313216031e-01,0.000000000000000000e+00
1.266926628913136010e+00,7.052637215615167321e-01,0.000000000000000000e+00
1.271707248844480720e+00,7.171894263278042470e-01,0.000000000000000000e+00
1.276413109826740611e+00,7.291567547944899363e-01,0.000000000000000000e+00
1.281044598422960368e+00,7.411644465645660373e-01,0.000000000000000000e+00
1.285602099831077538e+00,7.532112857027087882e-01,0.000000000000000000e+00
1.290085998214112184e+00,7.652960977372751383e-01,0.000000000000000000e+00
1.294496677005374741e+00,7.774177469173481070e-01,0.000000000000000000e+00
1.298834519189450365e+00,7.895751337028749095e-01,0.000000000000000000e+00
