gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.199995479921055974e+01,1.200000881258018097e+02,1.016954298684485813e+01,1.450203691174456022e+00,1.955454856174921208e+00,1.053122862749771710e-02
3.200002726309151058e+01,1.199999685086228425e+02,-5.903470202387078869e-01,1.412842141523978245e+00,2.037957092935387848e+00,-1.467725303857498470e-02
3.200005628967942783e+01,1.199999280702331959e+02,-7.617829229068791008e+00,1.364700932834845615e+00,2.167386562889111357e+00,-5.122946757851669190e-03
3.200000553243384616e+01,1.199999623464262442e+02,7.867813441187098134e-01,1.478908326388927330e+00,2.348374530981170327e+00,3.064175227732478593e-02
3.200001791498075221e+01,1.200000595471234703e+02,6.671520253165865277e+00,1.433272457136327560e+00,2.335855337809669585e+00,4.515957548573481389e-02
3.199998363901139697e+01,1.199999962592187757e+02,-1.086198648951448220e+01,1.442401295689909713e+00,2.518968258261670812e+00,-3.320524291828371583e-02
3.199998511276877977e+01,1.199999524905500579e+02,-4.382254880041393519e-01,1.327492435404443505e+00,2.641870069508057917e+00,5.233762595221097547e-02
3.200005581578018621e+01,1.199999346569697565e+02,-6.814852214954152387e+00,1.333883651476866605e+00,2.735834510004926834e+00,-7.750339886208652829e-02
3.200001343686263056e+01,1.200001374156168907e+02,-4.847107169380143077e+00,1.340279265746077586e+00,2.882524577384137032e+00,-4.119529332602011457e-02
3.199999065409302190e+01,1.200000292485321864e+02,1.450209492708234071e+00,1.328846194221943167e+00,3.043674081265754783e+00,5.605516267420826426e-02
3.200008182626127251e+01,1.200000832372935662e+02,-1.504916056881993702e+00,1.216740313249779826e+00,3.123313459013952187e+00,-9.666603498346131029e-02
3.200003600143443094e+01,1.200001194967805276e+02,2.948397450869002512e+00,1.183269883680955870e+00,3.264516695592889040e+00,-2.277016688919099655e-02
3.200006491354378824e+01,1.200000186967306632e+02,-1.929154230746642273e+00,1.195686513355381786e+00,3.361600491754141107e+00,-9.561892843516986429e-02
3.200005132327195412e+01,1.200000830652894450e+02,1.083639510347306789e+01,1.158449597583562252e+00,3.398182771276837322e+00,-1.422987082570262990e-02
3.199997072024584099e+01,1.199999879755271337e+02,-4.338251488300148395e+00,1.085551355028650411e+00,3.602340716667796539e+00,4.042810663338066574e-02
3.199997362790477595e+01,1.200000813226980938e+02,-7.995493635322652892e+00,1.263932784069209836e+00,3.758696423765504058e+00,-2.035324138213006478e-02
3.200011533943973063e+01,1.200000054007608981e+02,-8.111642571354563458e+00,1.043972630709370852e+00,3.841884387623649033e+00,2.685895666212344268e-02
3.200001127393819189e+01,1.200001086135787318e+02,-3.506531974473248159e+00,1.024147255537314116e+00,3.872448272356617149e+00,-1.407105092183021447e-02
3.200007647798382493e+01,1.200000921317048324e+02,3.782706588789809032e+00,9.774802447202880495e-01,3.916838704538185389e+00,-4.478745476948764459e-02
3.200001007023842448e+01,1.200000083100712089e+02,7.176104492730494222e+00,9.000661517541874712e-01,3.907785129945514857e+00,-6.040848919991247817e-03
3.200011230604389567e+01,1.200000926931679288e+02,-2.504984171966409434e+00,9.177846808079354046e-01,3.897494624856124190e+00,2.808238275282823326e-02
3.200003422449518808e+01,1.200000130594329022e+02,-1.597802428012225029e+01,7.831349759993606607e-01,3.954751713727765683e+00,4.788329318143019764e-02
3.200004305562913487e+01,1.200001038811685703e+02,-4.302607022155262584e+00,8.386256368250919468e-01,3.833119443740986121e+00,1.100621756850870270e-01
3.200011498965476164e+01,1.200000458397193484e+02,-1.120542717034974700e+01,7.838831237115558848e-01,3.908901893147253226e+00,-5.836856141688523403e-02
3.200007590394953638e+01,1.200000801591728390e+02,2.551204058450903478e+00,6.285415885657089641e-01,3.971603668108870000e+00,3.522815806573859065e-02
3.200012138309573118e+01,1.200000391788456113e+02,-7.825539902346379861e+00,6.906628163463817138e-01,3.957821587514995798e+00,-1.416411865859019265e-02
3.200001718287691688e+01,1.200001524546871963e+02,-3.854933947619520573e+00,6.547739943910302340e-01,3.990034154771249231e+00,4.045120434921644498e-02
3.199997223737786456e+01,1.200000940929906506e+02,-3.221038789220874055e+00,6.422941030941514695e-01,3.956858190982045720e+00,-1.340938656806666719e-02
3.200005994502044615e+01,1.200001184124860600e+02,2.250255153804496366e+00,6.311227183667684759e-01,3.993484426126128195e+00,2.249717261937314930e-02
3.200001834085658459e+01,1.200001201190162163e+02,-5.189874966851275140e+00,5.442377736451552428e-01,4.080205296990625286e+00,-4.859544467076518104e-02
3.200002852388841035e+01,1.200001107731088439e+02,-3.172610200190381313e+00,4.883948359960609276e-01,3.905101977133945912e+00,-4.556993054239553455e-03
3.200006739529111144e+01,1.200000433187838240e+02,-2.346392495780186938e+00,4.625521542983207501e-01,3.916189205939640594e+00,1.031417699798040516e-01
3.199992436341324265e+01,1.200000531179396432e+02,-4.033162749034911343e+00,4.524123343995292701e-01,4.005770444549050069e+00,1.556849562533625664e-02
3.200003017761108026e+01,1.200001450053842547e+02,-2.300332705045180504e+00,4.080478344278504754e-01,4.018260029434465253e+00,-7.851791309970450328e-02
3.200001146760008908e+01,1.200001276562437056e+02,-1.137234370798937100e+01,4.267591515450738227e-01,3.987497882844917463e+00,5.123323187492393599e-02
3.200002900181853249e+01,1.200001765915784659e+02,-2.588368091870187460e+00,4.382080393733304713e-01,3.994524531088442743e+00,3.409645395479279223e-02
3.200003218052415832e+01,1.200001851574215408e+02,-5.576440597358022444e+00,4.637032736163025914e-01,3.981036575202703709e+00,-5.105896739124841238e-02
3.200011334189041889e+01,1.200000715682375301e+02,-4.987250474335273687e+00,3.988697549013029420e-01,4.049832054059486985e+00,8.855574766084481353e-02
3.200005488517279417e+01,1.200000641441487375e+02,1.068024909009641554e+01,4.102950009897452510e-01,3.940736089226878125e+00,8.095531384487594795e-02
3.200004117530872350e+01,1.200001490619769982e+02,-9.744485667449860611e-02,3.436090323966863314e-01,4.045479073647039847e+00,1.221534085327167368e-02
3.200007859603475424e+01,1.200001020903074078e+02,1.749490977559877702e+00,2.724669782279774966e-01,3.975017264524996818e+00,9.358972805276559448e-02
3.200003971337476827e+01,1.200002068414104173e+02,-4.917368189186126060e+00,3.185445606383776607e-01,4.068884941218395390e+00,6.430450576672239182e-02
3.200008848724866084e+01,1.200001944514698664e+02,-2.401291962015608572e+00,2.425412703800193248e-01,4.013852692179577630e+00,4.366613619602041640e-02
3.200007114632272476e+01,1.200001574426721760e+02,-5.029144348162427391e+00,2.074856758663345957e-01,4.035685851657953904e+00,4.437565297807108920e-03
3.200007253809802421e+01,1.200001789763435340e+02,1.153695220335866267e+01,2.817468618375748024e-01,4.033668704665380744e+00,7.310632425663686658e-03
3.199998206440286097e+01,1.200001888792605484e+02,1.077198450962382026e+01,2.205281760559268389e-01,3.973922099117416451e+00,1.704930668172041988e-02
3.199997243514249945e+01,1.200001039293204599e+02,-1.093196955940062942e+00,3.208959352303957790e-01,4.038891953414248448e+00,9.399791391532745510e-02
3.200012324600049141e+01,1.200002739394083733e+02,1.163956048347331063e+01,2.492513230442835737e-01,3.964966405604724908e+00,3.696371490688494382e-02
3.200004868760299104e+01,1.200002078334356241e+02,2.314243148032616215e+00,1.863009945689882152e-01,3.969579395382717646e+00,1.126030240921222815e-02
3.200009321798714268e+01,1.200001792163892276e+02,7.149102748685443487e+00,1.727691213370859402e-01,3.955235450405451214e+00,5.442344624088646388e-02
3.200010641680361090e+01,1.200002716228291888e+02,-9.534727497310122146e+00,2.077889887118722634e-01,3.962703257987061356e+00,1.686865110329445298e-03
3.200003897144711829e+01,1.200002652060730242e+02,9.539120993855197739e+00,2.095981346528635325e-01,4.028561817933739242e+00,2.054597570590459277e-02
3.200008371561164466e+01,1.200002085102213272e+02,-7.436143433655349355e+00,2.231399556727479694e-01,4.010925172273061889e+00,-4.874262196773773682e-04
3.200008553285070434e+01,1.200002458722284615e+02,-6.829368577186738953e+00,1.324096783622708273e-01,3.989420765343489883e+00,-1.193109209050531236e-02
3.199999383649751294e+01,1.200001240368039817e+02,-1.077943117606259937e+00,1.616695195208842084e-01,4.102172485110360256e+00,-5.590376965607893323e-02
3.200003081517943571e+01,1.200002937352440142e+02,7.036159811776807604e-01,1.453197291692649162e-01,3.987081480106793308e+00,2.080485851967918409e-02
3.200001012364636921e+01,1.200002798119893299e+02,1.325145860162528777e+00,1.778472833886644844e-01,4.060627478846016380e+00,2.682099679992534097e-02
3.200014095476581844e+01,1.200001724763625788e+02,-8.271374887681748334e-01,1.538010962122884073e-01,4.041619978295988069e+00,4.015166287844373037e-03
3.200003087481296404e+01,1.200001841478328970e+02,4.259478883277609818e+00,1.388048047765539916e-01,4.062711159083407964e+00,2.454641614659634069e-02
3.200001991859772232e+01,1.200001567851580830e+02,-1.405911910391034070e+01,8.288606393359919389e-02,3.980795396074307657e+00,-1.332503141128506263e-02
3.200005341256955660e+01,1.200002034027955062e+02,2.518009474719944407e-01,9.470146507347940168e-02,3.945179455204888885e+00,6.385404213060777434e-02
3.200007675091377024e+01,1.200002958027437501e+02,-6.225148291727461647e+00,8.292707752621669703e-02,3.915223570738112446e+00,-4.878162806366518819e-03
3.200000836065088805e+01,1.200002586776644904e+02,-5.208839431138464704e+00,9.801268119189555927e-02,4.060322779351945854e+00,-1.867364180103757779e-02
3.200006009337963064e+01,1.200002844486645301e+02,-1.343872125785132043e+00,1.306573853753514591e-01,3.942937072536942367e+00,1.498952968356822603e-02
3.200006411587455091e+01,1.200003239745695538e+02,9.419403836597842528e+00,2.086967791714532672e-01,4.014859240224633474e+00,2.539018700889947994e-02
3.200014589572499091e+01,1.200002991457213142e+02,-4.731945741372676650e+00,6.699351535564063154e-02,4.040073054519838891e+00,-7.019925886569605700e-02
3.200005459906520855e+01,1.200002210761261239e+02,8.679962549628459811e+00,1.153361020438309348e-02,4.084457632559152174e+00,-1.039298439181480377e-01
3.200002154977799051e+01,1.200002625375935139e+02,-2.766916920706568916e+00,5.590365205247713187e-02,4.048621260494586593e+00,-2.922152709230016118e-02
3.200003194087508973e+01,1.200003857502215112e+02,-9.693908653194377223e+00,5.996332116087682573e-02,3.954169828843321355e+00,4.601465457397366232e-02
3.199998824605395598e+01,1.200001945288486809e+02,-7.895159415785154566e-01,1.314246599416283440e-02,4.035816136583775027e+00,-9.418610493594309352e-02
3.199998660988670451e+01,1.200003302338441813e+02,-1.203647803125238624e+01,1.144060365093573783e-01,3.971195941883087333e+00,6.328246195228058590e-02
3.200005904181688976e+01,1.200003069379397260e+02,-3.688971367253168321e+00,7.990822279087550495e-02,4.048454977126777266e+00,7.390925426274885801e-02
3.200004454073212656e+01,1.200003227115497992e+02,-3.048450001252287045e+00,7.028890764598928753e-02,4.027629605283018499e+00,7.196075615662983482e-02
3.200001098108673858e+01,1.200003191434021801e+02,1.804954330282597441e+00,6.790328180137306102e-02,4.019524596336985667e+00,2.289008950638272630e-02
3.200006517889919166e+01,1.200002736998059021e+02,-5.084534520899014254e+00,8.758389171750585733e-02,3.939021769560071995e+00,6.964651554034735625e-02
3.200012046475681871e+01,1.200003656611251728e+02,-5.204023083104210912e+00,4.776834043024043297e-03,4.062788060979339200e+00,-3.501737853430750280e-02
3.200001449434841305e+01,1.200003359036672492e+02,3.023754327821797094e+00,7.768357298580635950e-03,3.954645706001227889e+00,-7.374272311559752768e-02
3.200005453126532728e+01,1.200003049773288524e+02,-3.422555154635702035e+00,5.646025682846579630e-02,3.876175120960996257e+00,9.360932513951042075e-03
3.200008720838568621e+01,1.200002893380132036e+02,9.799280263665171020e+00,-4.106438883531596251e-02,4.088289352005898714e+00,3.895787772058956211e-02
3.199993247473024738e+01,1.200003302421427520e+02,-3.588913782796382623e+00,6.086965673612243499e-02,3.981940866683653990e+00,-1.044724613296960786e-02
3.200001507680294566e+01,1.200002379234006327e+02,1.580980867287810909e+01,-9.408917503483771316e-03,3.978948295491242071e+00,9.236939615764465025e-03
3.200001449831971456e+01,1.200003136036526428e+02,1.460149711100783954e+01,2.516828247546933767e-02,4.057399288384954339e+00,-1.127970004352176554e-04
3.200015790307183750e+01,1.200002832127839270e+02,4.740340288711535344e+00,-1.902612673728731191e-02,4.036067373137691483e+00,-1.773328020989419981e-02
3.200007491409062510e+01,1.200003234359177071e+02,-7.682384044465953465e+00,3.771134085245255591e-02,4.089369969708597452e+00,1.773355053513168966e-02
3.200002946809089366e+01,1.200003817324555087e+02,-3.308679616860684902e+00,9.919723385306389307e-03,3.982175024326549462e+00,4.213339845066194078e-02
